02.09. 09:00;Hong Kong;Makao;4:0
01.09. 20:20;Austria U21;Finlandia U21;2:2
01.09. 19:30;Hiszpania U21;Wochy U21;3:0
01.09. 18:30;Francja U21;Chile U21;1:1
01.09. 18:00;Niemcy U21;Wgry U21;1:2
01.09. 14:00;Portugalia U19;Holandia U19;2:2
01.09. 10:00;Albania U19;Gruzja U19;0:1
31.08. 21:00;Togo;Niger;2:0
31.08. 18:30;Szwajcaria U19;Niemcy U19;0:0
31.08. 18:00;Kenia;Mauretania;1:1
31.08. 17:30;Sowenia U19;Kazachstan U19;1:0
31.08. 17:00;Czechy U21;Turcja U21;1:1
31.08. 17:00;Izrael U19;Czarnogra U19;1:1
31.08. 17:00;Serbia U19;Szkocja U19;3:1
31.08. 16:00;Macedonia U19;Rumunia U19;3:1
31.08. 13:30;Singapur;Hong Kong;1:1
30.08. 17:30;Portugalia U19;Finlandia U19;3:0
30.08. 17:15;Afghanistan;Oman;0:2
30.08. 12:00;Holandia U19;Belgia U19;1:2
29.08. 18:00;Bahrajn;Jordania;0:0
29.08. 11:30;Myanmar;Malezja;1:0
26.08. 17:00;Irak;Syria;1:1
25.08. 17:00;Uzbekistan;Kyrgyzstan;5:0
25.08. 02:00;Trinidad i Tobago;Jamajka;1:2
24.08. 16:30;Indie;Saint Kitts i Nevis;1:1
23.08. 19:00;Katar;Turkmenistan;2:1
22.08. 14:45;Malezja;Syria;1:2
22.08. 14:00;Mauritius;Saint Kitts i Nevis;1:1
19.08. 16:30;Indie;Mauritius;2:1
16.08. 19:00;Andora;Katar;0:1
09.08. 18:00;Modawia U21;Cypr U21;2:1
07.08. 15:30;Rwanda;Sudan;2:1
05.08. 15:00;Zambia;Etiopia;0:0
27.07. 02:30;Ekwador;Trinidad i Tobago;3:1
12.07. 16:30;Teplice;Bahrajn;3:0
07.07. 01:30;Grenada;Barbados;0:2
06.07. 23:30;Dominika;Saint Vincent i Grenadyny;2:2
05.07. 01:30;Saint Lucia;Dominika;0:0
04.07. 23:30;Saint Vincent i Grenadyny;Barbados;4:2
03.07. 23:00;Grenada;Saint Vincent i Grenadyny;4:3
03.07. 21:00;Barbados;Saint Lucia;1:1
02.07. 19:00;Katar U23;Uzbekistan U23;0:1
02.07. 10:30;Kamboda U22;Hong Kong U22;0:1
02.07. 02:30;Meksyk;Paragwaj;2:1
01.07. 22:45;USA;Ghana;2:1
01.07. 01:30;Grenada;Saint Lucia;2:0
30.06. 23:30;Dominika;Barbados;2:1
30.06. 19:00;Katar U23;Kyrgyzstan U23;3:3
30.06. 13:30;Myanmar U22;Hong Kong U22;2:1
29.06. 03:00;Meksyk;Ghana;1:0
29.06. 01:30;Grenada;Dominika;1:1
28.06. 23:30;Saint Vincent i Grenadyny;Saint Lucia;1:2
21.06. 20:30;Holandia U19;Katwijk;7:2
18.06. 02:00;Curacao;Nikaragua;0:0
16.06. 19:00;Portugalia U18;Japonia U18;3:1
16.06. 17:00;USA U18;Norwegia U18;1:2
14.06. 19:00;Portugalia U18;Norwegia U18;3:0
14.06. 17:00;Japonia U18;USA U18;2:0
14.06. 02:30;Peru;Jamajka;3:1
14.06. 02:00;Ekwador;Salwador;3:0
14.06. 01:30;Kanada;Curacao;2:1
13.06. 21:00;Francja;Anglia;3:2
13.06. 20:30;Kamerun;Kolumbia;0:4
13.06. 20:00;Rumunia;Chile;3:2
13.06. 19:45;Norwegia;Szwecja;1:1
13.06. 19:00;Republika Poudniowej Afryki;Zambia;1:2
13.06. 16:30;Indonezja;Portoryko;0:0
13.06. 14:00;Singapur;Argentyna;0:6
13.06. 12:05;Australia;Brazylia;0:4
12.06. 20:30;Czarnogra U21;Gruzja U21;3:2
12.06. 18:45;otwa;Estonia;1:2
12.06. 18:00;Austria U21;Wgry U21;2:1
12.06. 18:00;Biaoru;Nowa Zelandia;1:0
12.06. 17:30;Bugaria U21;Grecja U21;0:1
10.06. 23:00;Grenada;Bermudy;1:2
10.06. 15:00;Ukraina U18;Polska U19;0:0
10.06. 14:00;Szwecja U21;Dania U21;0:2
10.06. 14:00;Tajlandia U23;Irak U23;1:1
10.06. 12:00;Anglia U21;Islandia U21;3:0
09.06. 18:00;Rosja;Chile;1:1
09.06. 18:00;Serbia U20;Grecja U21;3:1
09.06. 12:05;Brazylia;Argentyna;0:1
09.06. 02:30;Ekwador;Wenezuela;1:1
08.06. 23:00;Peru;Paragwaj;1:0
08.06. 22:00;Grenada;Bermudy;2:2
08.06. 21:00;Francja U21;Kamerun U21;3:1
08.06. 18:30;Czechy U21;Azerbejdan U21;2:1
08.06. 18:00;Dania U18;Grecja U18;0:1
08.06. 17:30;Bugaria U21;Gruzja U21;1:0
08.06. 17:00;Ukraina U21;Finlandia U21;0:1
08.06. 16:00;Ukraina U18;Polska U19;2:0
08.06. 14:00;Sowenia U21;Czarnogra U21;2:3
08.06. 14:00;Wgry U18;Szwecja U18;1:1
08.06. 13:30;Kamboda;Indonezja;0:2
07.06. 23:00;Boliwia;Nikaragua;3:2
07.06. 21:30;Hiszpania;Kolumbia;2:2
07.06. 20:45;Wochy;Urugwaj;3:0
07.06. 19:00;Irak;Korea Poudniowa;0:0
07.06. 18:00;Finlandia;Liechtenstein;1:1
07.06. 18:00;Gruzja;Saint Kitts i Nevis;3:0
07.06. 17:00;Czechy U18;Sowenia U18;1:1
07.06. 15:00;Zjednoczone Emiraty Arabskie;Laos;4:0
07.06. 14:00;Chonburi;Irak U23;1:1
07.06. 14:00;Hong Kong;Jordania;0:0
07.06. 14:00;Szwajcaria U19;Liechtenstein U19;4:0
07.06. 13:35;Chiny;Filipiny;8:1
07.06. 12:25;Japonia;Syria;1:1
06.06. 23:00;Algieria;Guinea;2:1
06.06. 21:00;Bahrajn;Palestyna;0:2
06.06. 21:00;Katar;Korea Pnocna;2:2
06.06. 20:45;Dania;Niemcy;1:1
06.06. 19:30;Izrael;Modawia;1:1
06.06. 19:00;Afghanistan;Malediwy;2:1
06.06. 19:00;Ukraina;Malta;0:1
06.06. 17:00;Ukraina U21;Czarnogra U21;2:1
06.06. 17:00;Uzbekistan;Tajlandia;2:0
06.06. 15:30;Indie;Nepal;2:0
06.06. 15:30;Malezja U23;Felda;1:1
06.06. 15:00;Singapur;Myanmar;1:1
06.06. 14:00;Finlandia U21;Sowenia U21;1:0
05.06. 23:00;Senegal;Uganda;0:0
05.06. 22:00;Egipt;Libia;1:0
05.06. 21:05;Albania U21;Francja U21;0:3
05.06. 20:45;Belgia;Czechy;2:1
05.06. 20:30;Wgry;Rosja;0:3
05.06. 19:45;Macedonia;Turcja;0:0
05.06. 18:35;Izrael U21;Serbia U20;0:0
05.06. 18:00;DR Kongo;Botswana;2:0
05.06. 18:00;Liberia;Sierra Leone;1:0
05.06. 17:00;Azerbejdan U21;Czechy U21;0:5
04.06. 20:30;Czarnogra;Iran;1:2
04.06. 19:30;Holandia;Wybrzee Koci Soniowej;5:0
04.06. 19:00;Irlandia;Urugwaj;3:1
04.06. 19:00;Luksemburg;Albania;2:1
04.06. 18:00;Armenia;Saint Kitts i Nevis;5:0
04.06. 18:00;Togo;Comoros;2:0
04.06. 17:00;Armenia U21;Modawia U21;1:0
04.06. 16:30;Gabon;Zambia;0:0
04.06. 12:00;Lesotho;Mauretania;1:0
04.06. 04:00;USA;Wenezuela;1:1
03.06. 17:00;Portugalia;Cypr;4:0
03.06. 15:00;Etiopia;Uganda;0:0
03.06. 02:30;Chile;Burkina Faso;3:0
03.06. 02:30;Nikaragua;Boliwia;0:1
02.06. 21:00;Francja;Paragwaj;5:0
02.06. 20:45;Irlandia Pnocna;Nowa Zelandia;1:0
02.06. 20:30;Oman;Syria;1:1
02.06. 02:30;Meksyk;Irlandia;3:1
01.06. 21:00;Irak;Jordania;1:0
01.06. 20:45;Szwajcaria;Biaoru;1:0
01.06. 19:00;Togo;Nigeria;0:3
01.06. 16:00;Czechy U20;Cypr U21;1:0
31.05. 21:30;Wochy;San Marino;8:0
31.05. 19:30;Maroko;Holandia;1:2
31.05. 19:30;Wybrzee Koci Soniowej;Benin;1:1
31.05. 18:00;Rosja U21;Biaoru U21;7:0
28.05. 05:00;Fidi;Wyspy Salomona;1:0
28.05. 01:30;Meksyk;Chorwacja;1:2
28.05. 01:00;Honduras;Salwador;2:2
27.05. 15:30;Uzbekistan U21;Rosja U21;3:4
25.05. 12:00;Ghana;Benin;1:1
25.05. 09:00;Fidi;Wyspy Salomona;1:1
21.05. 17:00;Benin;Burkina Faso;2:2
18.05. 12:00;Serbia U18;Czechy U18;3:1
13.05. 16:45;Egipt;Jemen;1:0
11.05. 19:30;Senegal;Mauretania;2:0
11.05. 15:00;Cypr U19;Armenia U19;0:1
10.05. 14:00;Wietnam U20;Argentyna U20;1:4
09.05. 16:00;Macedonia U18;Bugaria U18;1:0
09.05. 15:00;Cypr U19;Armenia U19;1:2
07.05. 02:00;Saint Kitts i Nevis;Barbados;2:1
04.05. 12:00;Burkina Faso;Benin;1:1
30.04. 01:30;Grenada;Trinidad i Tobago;2:2
18.04. 14:00;Kenia;Malawi;0:0
30.03. 12:00;Korea Poudniowa U20;Ekwador U20;0:2
30.03. 09:00;Zambia U20;Honduras U20;4:1
28.03. 21:00;Francja;Hiszpania;0:2
28.03. 20:45;Austria;Finlandia;1:1
28.03. 20:45;Holandia;Wochy;1:2
28.03. 20:45;Irlandia;Islandia;0:1
28.03. 20:45;Portugalia;Szwecja;2:3
28.03. 20:30;Szkocja U21;Estonia U21;0:0
28.03. 20:00;Kamerun;Guinea;1:2
28.03. 20:00;Luksemburg;Wyspy Zielonego Przyldka;0:2
28.03. 20:00;Maroko;Tunezja;1:0
28.03. 19:00;Mozambik;Lesotho;1:0
28.03. 19:00;Republika Poudniowej Afryki;Angola;0:0
28.03. 18:00;Albania;Bonia Hercegowina;1:2
28.03. 18:00;Egipt;Togo;3:0
28.03. 18:00;Estonia;Chorwacja;3:0
28.03. 18:00;Macedonia;Biaoru;3:0
28.03. 18:00;Niemcy U21;Portugalia U21;0:1
28.03. 18:00;Rosja;Belgia;3:3
28.03. 18:00;Rosja U21;Norwegia U21;2:0
28.03. 17:20;Sowacja U21;Serbia U21;2:1
28.03. 17:00;Litwa U21;otwa U21;3:0
28.03. 16:00;Gruzja;otwa;5:0
28.03. 16:00;Turcja U21;Azerbejdan U21;4:0
28.03. 15:00;Islandia U21;Arabia Saudyjska U21;3:1
28.03. 15:00;Tanzania;Burundi;2:1
28.03. 14:00;Macedonia U21;Bugaria U21;1:0
27.03. 21:00;Wochy U21;Hiszpania U21;1:2
27.03. 20:00;Senegal;Wybrzee Koci Soniowej;1:1
27.03. 19:00;Australia U23;Finlandia U21;0:2
27.03. 19:00;Dania U21;Anglia U21;0:4
27.03. 19:00;Holandia U18;Czechy U18;5:0
27.03. 18:30;Mauretania;Kongo;2:1
27.03. 18:15;Turcja;Modawia;3:1
27.03. 18:00;Szwajcaria U20;Niemcy U20;2:1
27.03. 18:00;Szwecja U21;Czechy U20;4:0
27.03. 17:00;Central African Rep.;Gambia;1:2
27.03. 17:00;Polska U21;Czechy U21;1:2
27.03. 16:00;Holandia U21;Austria U21;0:1
27.03. 15:00;Albania U21;Modawia U21;2:0
27.03. 14:00;Gruzja U19;Rosja U19;1:0
27.03. 13:00;Rumunia U21;Dania U20;0:2
26.03. 15:00;Zimbabwe;Zambia;0:0
26.03. 14:00;Kenia;DR Kongo;2:1
26.03. 13:00;otwa U21;Biaoru U21;4:3
25.03. 20:00;Mozambik;Angola;2:0
25.03. 17:00;Litwa U21;Biaoru U21;1:2
25.03. 15:00;Albania U21;Modawia U21;0:0
25.03. 14:00;Botswana;Tanzania;0:2
25.03. 14:00;Republika Poudniowej Afryki;Guinea-Bissau;3:1
25.03. 11:00;Gruzja U21;Islandia U21;4:4
24.03. 21:00;Maroko;Burkina Faso;2:0
24.03. 20:45;Szwecja U21;Serbia U21;0:2
24.03. 20:00;Guinea;Gabon;2:2
24.03. 20:00;Niemcy U21;Anglia U21;1:0
24.03. 19:15;Portugalia U21;Norwegia U21;3:1
24.03. 19:00;Austria U21;Australia U23;1:1
24.03. 19:00;Tunezja;Kamerun;0:1
24.03. 18:15;Czechy U20;Dania U20;1:2
24.03. 18:00;Mauretania;Benin;1:0
24.03. 17:00;Czechy U21;Sowacja U21;4:1
24.03. 17:00;Rosja;Wybrzee Koci Soniowej;0:2
24.03. 16:00;Holandia U21;Finlandia U21;2:0
24.03. 16:00;Rosja U21;Rumunia U21;5:1
24.03. 15:00;Libia;Togo;0:0
24.03. 15:00;Turcja U21;Ukraina U21;1:1
24.03. 14:00;Macedonia U21;Czarnogra U21;2:0
23.03. 21:00;Nigeria;Senegal;1:1
23.03. 20:45;Polska U21;Wochy U21;1:2
23.03. 20:00;Francja U20;Senegal U20;3:0
23.03. 19:30;Hiszpania U21;Dania U21;3:1
23.03. 18:30;Luksemburg U21;Malta U21;5:0
23.03. 18:00;Niemcy U20;Szwajcaria U20;1:0
23.03. 17:00;Afghanistan;Singapur;2:1
23.03. 17:00;Bahrajn;Tadykistan;1:1
23.03. 17:00;Jordania;Hong Kong;4:0
23.03. 16:00;Anglia U20;Portugalia U20;2:2
23.03. 15:30;Chorwacja U21;Sowenia U21;3:0
23.03. 14:00;Cypr U21;Izrael U21;1:0
23.03. 13:00;Kenia;Uganda;1:1
23.03. 12:00;Polska U20;Wochy U20;3:1
23.03. 01:00;Curacao;Salwador;1:1
22.03. 20:45;Niemcy;Anglia;1:0
22.03. 20:45;Szkocja;Kanada;1:1
22.03. 18:00;Czechy;Litwa;3:0
22.03. 17:00;Cypr;Kazachstan;3:1
22.03. 16:00;Gruzja U21;Islandia U21;3:1
22.03. 16:00;Jemen;Palestyna;0:1
22.03. 16:00;Szwajcaria U18;Czechy U18;2:2
22.03. 15:30;Grecja U21;Wgry U21;2:1
22.03. 12:30;Filipiny;Malezja;0:0
22.03. 12:30;Kamboda;Indie;2:3
22.03. 12:00;Wietnam;Chiskie Tajpej;1:1
21.03. 15:00;Sowenia U18;Serbia U18;1:0
21.03. 10:00;Indonezja;Myanmar;1:3
19.03. 18:00;San Marino;Modawia;0:2
18.03. 08:30;Iran;Irak;0:1
16.03. 23:00;Honduras;Nikaragua;2:0
13.03. 14:00;Burundi;Dibuti;1:0
11.03. 14:00;Burundi;Dibuti;7:0
11.03. 00:00;Trinidad i Tobago;Barbados;2:0
09.03. 17:00;Katar;Azerbejdan;1:2
08.03. 17:00;Izrael;Izrael U21;2:0
08.03. 13:00;Bugaria U19;Cypr U19;1:0
07.03. 15:00;Macedonia U19;Czarnogra U19;1:0
07.03. 14:00;Serbia U19;Bonia Hercegowina U19;0:5
02.03. 12:00;Izrael U19;Ukraina U19;1:0
23.02. 01:00;Ekwador;Honduras;3:1
22.02. 18:30;San Marino;Andora;0:2
17.02. 02:30;Honduras;Jamajka;0:1
16.02. 10:00;Izrael U19;Cypr U19;2:0
14.02. 16:00;Norwegia U19;Portugalia U19;0:1
14.02. 16:00;Portugalia U17;Niemcy U17;1:1
14.02. 13:00;Irlandia U19;Sowacja U19;1:3
14.02. 12:00;Anglia U17;Holandia U17;1:0
14.02. 10:00;Izrael U19;Cypr U19;3:0
13.02. 16:00;Polska U17;Norwegia U17;0:0
13.02. 13:00;Szwecja U17;Czechy U17;3:1
12.02. 16:00;Sowacja U19;Norwegia U19;2:2
12.02. 13:00;Portugalia U19;Irlandia U19;0:1
10.02. 16:00;Sowacja U19;Portugalia U19;0:3
10.02. 13:00;Irlandia U19;Norwegia U19;1:2
09.02. 04:06;Meksyk;Islandia;1:0
07.02. 13:00;Bugaria U19;Czechy U19;0:1
07.02. 13:00;Grecja U19;Turcja U19;3:2
04.02. 01:00;USA;Jamajka;1:0
31.01. 17:00;Portugalia U18;Maroko U18;4:0
29.01. 22:00;USA;Serbia;0:0
26.01. 00:45;Brazylia;Kolumbia;1:0
25.01. 16:00;Portugalia U20;Korea Poudniowa U20;1:1
25.01. 14:00;Jordania;Gruzja;1:0
23.01. 14:00;Uzbekistan;Gruzja;2:2
22.01. 20:00;Bermudy;Kanada;2:4
20.01. 00:00;Panama U20;Kanada U20;0:1
19.01. 13:30;Cypr U19;Dania U19;0:6
18.01. 14:30;Wochy U19;Hiszpania U19;0:1
17.01. 16:00;Katar;Modawia;1:1
14.01. 16:00;Arabia Saudyjska;Kamboda;7:2
13.01. 16:00;Sowenia B;Finlandia;2:0
12.01. 16:45;Szwecja;Sowacja;6:0
11.01. 15:30;Kongo;Senegal;0:2
11.01. 14:00;Wybrzee Koci Soniowej;Uganda;3:0
10.01. 18:00;Kamerun;Zimbabwe;1:1
10.01. 17:00;Algieria;Mauretania;6:0
10.01. 16:00;Arabia Saudyjska;Sowenia;0:0
09.01. 15:00;Maroko;Finlandia;0:1
08.01. 17:00;Egipt;Tunezja;1:0
08.01. 16:30;Uganda;Sowacja;3:1
08.01. 15:00;Senegal;Libia;2:1
08.01. 13:45;Szwecja;Wybrzee Koci Soniowej;1:2
07.01. 17:00;Algieria;Mauretania;3:1
07.01. 17:00;Mali;Burkina Faso;1:2
05.01. 14:30;Kamerun;DR Kongo;2:0
04.01. 17:00;Maroko;Burkina Faso;1:0
04.01. 14:30;Tunezja;Uganda;2:0
